Mo da yda  time  FoF2
 3 21  80  22.00    3.0
 3 21  80  23.00    2.8
 3 21  80   0.00   2.55
 3 21  80   1.00   2.55
 3 21  80   2.00    2.4
 3 21  80   3.00    2.1
 3 21  80   4.00   3.05
 3 21  80   5.00    3.5
 3 21  80   6.00    4.0
 3 21  80   7.00   4.55
 3 21  80   8.00   4.65
 3 21  80   9.00   4.55
 3 21  80  10.00   5.05
 3 21  80  11.00   4.38
 3 21  80  12.00    5.2
 3 21  80  13.00    5.8
 3 21  80  14.00    5.0
 3 21  80  15.00    3.9
 3 21  80  16.00    4.0
 3 21  80  17.00    3.8
 3 21  80  18.00   3.75
 3 21  80  19.00    3.2
 3 21  80  20.00   2.85
 3 21  80  21.00    3.0
