Mo da yda  time  FoF2
12 23 358  22.00    3.6
12 23 358  23.00    3.8
12 23 358   0.00    3.6
12 23 358   1.00    3.2
12 23 358   2.00    2.8
12 23 358   3.00    2.4
12 23 358   4.00    2.1
12 23 358   5.00   2.05
12 23 358   6.00    3.5
12 23 358   7.00    4.3
12 23 358   8.00    5.5
12 23 358   9.00    5.4
12 23 358  11.00    5.4
12 23 358  12.00    5.1
12 23 358  13.00    4.0
12 23 358  16.00    2.6
12 23 358  17.00    2.5
12 23 358  18.00    2.5
12 23 358  19.00    2.9
12 23 358  20.00    3.3
12 23 358  21.00    3.4
