Mo da yda  time  FoF2
12 27 362  22.00    2.5
12 27 362  23.00    2.7
12 27 362   0.00    2.8
12 27 362   1.00    2.4
12 27 362   2.00    2.0
12 27 362   3.00    1.7
12 27 362   4.00    1.8
12 27 362   5.00    2.1
12 27 362   6.00    3.3
12 27 362   7.00    4.3
12 27 362   8.00    5.1
12 27 362   9.00   4.55
12 27 362  10.00   4.55
12 27 362  11.00   4.25
12 27 362  12.00    4.3
12 27 362  13.00   4.25
12 27 362  14.00   2.35
12 27 362  15.00   2.05
12 27 362  16.00    2.0
12 27 362  17.00    1.9
12 27 362  18.00   2.75
12 27 362  19.00    2.3
12 27 362  20.00   2.45
12 27 362  21.00    2.4
