Mo da yda  time  FoF2
 3 31  90  22.00    2.8
 3 31  90  23.00    2.9
 3 31  90   0.00    3.0
 3 31  90   1.00    3.1
 3 31  90   2.00    3.0
 3 31  90   3.00    3.2
 3 31  90   4.00    3.6
 3 31  90   5.00    4.0
 3 31  90   6.00    4.2
 3 31  90   7.00   4.75
 3 31  90   8.00    4.8
 3 31  90   9.00    5.2
 3 31  90  10.00    4.7
 3 31  90  11.00    4.6
 3 31  90  12.00    4.8
 3 31  90  13.00    4.5
 3 31  90  14.00    4.6
 3 31  90  15.00    4.5
 3 31  90  16.00   4.55
 3 31  90  17.00    4.6
 3 31  90  18.00    4.6
 3 31  90  19.00    4.3
 3 31  90  20.00    3.8
 3 31  90  21.00    3.7
