Mo da yda  time  FoF2
 1 13  13  22.00    2.6
 1 13  13  23.00    2.6
 1 13  13   0.00    2.8
 1 13  13   1.00    2.4
 1 13  13   2.00    2.7
 1 13  13   3.00    2.0
 1 13  13   4.00    2.1
 1 13  13   7.00    4.5
 1 13  13   8.00    4.4
 1 13  13   9.00    5.3
 1 13  13  10.00    4.3
 1 13  13  11.00   4.55
 1 13  13  12.00    4.8
 1 13  13  13.00    4.2
 1 13  13  14.00    3.5
 1 13  13  15.00    2.9
 1 13  13  16.00    2.6
 1 13  13  17.00    2.4
 1 13  13  18.00    2.4
 1 13  13  19.00    2.5
 1 13  13  20.00    3.0
 1 13  13  21.00    3.2
