Mo da yda  time  FoF2
12  2 337  22.00    3.0
12  2 337  23.00    3.1
12  2 337   0.00    3.2
12  2 337   1.00    3.0
12  2 337   2.00    2.5
12  2 337   3.00    2.1
12  2 337   4.00    2.3
12  2 337   5.00    2.6
12  2 337   6.00    3.4
12  2 337   7.00    4.7
12  2 337   8.00   4.25
12  2 337   9.00    4.5
12  2 337  10.00    4.4
12  2 337  11.00    4.3
12  2 337  12.00    4.9
12  2 337  13.00    3.6
12  2 337  14.00    2.8
12  2 337  15.00   2.25
12  2 337  16.00    2.2
12  2 337  17.00    2.0
12  2 337  18.00    2.3
12  2 337  19.00    2.4
12  2 337  20.00    2.5
12  2 337  21.00   2.75
