Mo da yda  time  FoF2
 2 10  41  22.00    3.5
 2 10  41  23.00    3.3
 2 10  41   0.00    3.2
 2 10  41   1.00    3.5
 2 10  41   2.00    2.7
 2 10  41   3.00    2.2
 2 10  41   5.00    3.3
 2 10  41   6.00    4.6
 2 10  41   7.00    5.1
 2 10  41   8.00    5.3
 2 10  41   9.00    5.4
 2 10  41  10.00    4.9
 2 10  41  11.00    4.8
 2 10  41  12.00   4.55
 2 10  41  13.00    4.5
 2 10  41  14.00   4.05
 2 10  41  15.00    3.3
 2 10  41  16.00   2.35
 2 10  41  17.00    2.2
 2 10  41  18.00    2.3
