Mo da yda  time  FoF2
12 12 347  22.00    2.7
12 12 347  23.00   3.35
12 12 347   0.00    3.5
12 12 347   1.00    3.0
12 12 347   2.00    2.1
12 12 347   4.00    1.7
12 12 347   5.00    2.3
12 12 347   6.00   3.75
12 12 347   7.00   4.65
12 12 347   8.00    4.9
12 12 347   9.00   5.05
12 12 347  10.00    5.0
12 12 347  11.00    4.7
12 12 347  12.00    4.9
12 12 347  13.00    3.7
12 12 347  14.00    3.3
12 12 347  15.00    2.6
12 12 347  17.00    2.0
12 12 347  18.00    1.9
12 12 347  19.00    2.6
12 12 347  20.00    2.4
12 12 347  21.00    2.5
