Mo da yda  time  FoF2
 1 11  11  22.00    2.9
 1 11  11  23.00    2.8
 1 11  11   0.00    2.8
 1 11  11   1.00    2.7
 1 11  11   2.00    2.0
 1 11  11   3.00    2.2
 1 11  11   4.00   2.25
 1 11  11   6.00    3.0
 1 11  11   7.00    4.9
 1 11  11   8.00    5.0
 1 11  11   9.00    4.4
 1 11  11  10.00    5.8
 1 11  11  11.00    4.8
 1 11  11  12.00    3.7
 1 11  11  13.00    3.5
 1 11  11  14.00    3.4
 1 11  11  15.00    2.7
 1 11  11  16.00    2.5
 1 11  11  17.00    2.6
 1 11  11  18.00    2.0
 1 11  11  19.00    2.3
 1 11  11  20.00   2.65
 1 11  11  21.00    2.7
