Mo da yda  time  FoF2
12  3 338  22.00    3.0
12  3 338  23.00   3.05
12  3 338   0.00    3.0
12  3 338   1.00   2.55
12  3 338   2.00    2.2
12  3 338   3.00    2.2
12  3 338   4.00    2.3
12  3 338   5.00    2.3
12  3 338   6.00   3.55
12  3 338   7.00   4.25
12  3 338   8.00    4.4
12  3 338   9.00    4.7
12  3 338  10.00    4.6
12  3 338  11.00    4.3
12  3 338  12.00    4.8
12  3 338  13.00    4.1
12  3 338  14.00    3.1
12  3 338  15.00    2.8
12  3 338  16.00    2.7
12  3 338  17.00    2.7
12  3 338  18.00   2.75
12  3 338  19.00    3.1
12  3 338  20.00    3.3
12  3 338  21.00    3.1
