Mo da yda  time  FoF2
12 21 356  22.00    2.8
12 21 356  23.00    3.2
12 21 356   0.00    3.2
12 21 356   1.00    3.1
12 21 356   2.00    2.7
12 21 356   3.00    2.8
12 21 356   4.00    2.7
12 21 356   5.00    2.7
12 21 356   6.00    3.9
12 21 356   7.00    5.2
12 21 356   8.00    4.8
12 21 356   9.00    4.7
12 21 356  10.00    4.7
12 21 356  11.00    5.5
12 21 356  12.00    5.2
12 21 356  13.00    4.0
12 21 356  14.00   2.55
12 21 356  15.00    2.7
12 21 356  16.00    2.5
12 21 356  17.00    2.8
12 21 356  18.00    3.0
12 21 356  20.00    3.4
12 21 356  21.00    4.0
