Mo da yda  time  FoF2
 2 27  58  22.00    3.0
 2 27  58  23.00    3.1
 2 27  58   0.00    3.0
 2 27  58   1.00   3.05
 2 27  58   2.00   3.15
 2 27  58   3.00    2.4
 2 27  58   4.00   2.45
 2 27  58   5.00    3.7
 2 27  58   6.00    4.7
 2 27  58   7.00    4.6
 2 27  58   8.00    4.5
 2 27  58   9.00   5.05
 2 27  58  10.00    5.3
 2 27  58  11.00    5.3
 2 27  58  12.00    5.2
 2 27  58  13.00    5.3
 2 27  58  14.00    4.5
 2 27  58  15.00    4.2
 2 27  58  16.00    3.9
 2 27  58  17.00    3.8
 2 27  58  18.00    3.8
 2 27  58  19.00    3.5
 2 27  58  20.00    3.5
 2 27  58  21.00   3.25
