Mo da yda  time  FoF2
 3 30  89  22.00    3.0
 3 30  89  23.00    3.0
 3 30  89   0.00   2.75
 3 30  89   1.00    2.7
 3 30  89   2.00   2.65
 3 30  89   3.00   3.05
 3 30  89   4.00    3.8
 3 30  89   5.00    3.7
 3 30  89   6.00    4.1
 3 30  89   7.00    4.6
 3 30  89   8.00    4.7
 3 30  89   9.00    4.9
 3 30  89  10.00    4.6
 3 30  89  11.00    5.0
 3 30  89  12.00    4.8
 3 30  89  13.00   4.75
 3 30  89  14.00    4.5
 3 30  89  15.00    5.2
 3 30  89  16.00    5.0
 3 30  89  17.00    4.6
 3 30  89  18.00    4.8
 3 30  89  19.00    4.8
 3 30  89  20.00    3.2
 3 30  89  21.00    2.8
