Mo da yda  time  FoF2
12 15 350  22.00   3.05
12 15 350  23.00   3.15
12 15 350   0.00    3.1
12 15 350   1.00   2.65
12 15 350   2.00   2.15
12 15 350   3.00    2.0
12 15 350   4.00   2.05
12 15 350   5.00   2.25
12 15 350   6.00   3.25
12 15 350   7.00    5.0
12 15 350   8.00    4.7
12 15 350   9.00   4.75
12 15 350  10.00    4.3
12 15 350  11.00    4.7
12 15 350  12.00    4.1
12 15 350  13.00    3.8
12 15 350  14.00    3.2
12 15 350  15.00    2.7
12 15 350  16.00    2.6
12 15 350  17.00    3.0
12 15 350  18.00   2.75
12 15 350  19.00    3.0
12 15 350  20.00    3.2
12 15 350  21.00    3.4
