Mo da yda  time  FoF2
 1 29  29  23.00    3.2
 1 29  29   0.00    2.8
 1 29  29   1.00    2.7
 1 29  29   2.00    2.2
 1 29  29   3.00    2.2
 1 29  29   4.00    2.0
 1 29  29   5.00    2.5
 1 29  29   6.00    4.5
 1 29  29   7.00    5.3
 1 29  29   8.00    5.0
 1 29  29   9.00    4.9
 1 29  29  10.00    5.0
 1 29  29  11.00    5.3
 1 29  29  12.00   4.55
 1 29  29  13.00   4.25
 1 29  29  14.00    3.8
 1 29  29  15.00    2.8
 1 29  29  16.00    2.1
 1 29  29  17.00    2.2
 1 29  29  20.00    2.6
 1 29  29  21.00    3.3
